instrumenttype	position	symbol	pitch	octave	stroke	duration	rest_after	modifier	midinote	rootnote	sample	note_value
REYONG	REYONG_1	i?_	DING	1	MUTED	0.5	0.0	NONE	[28]	GK REYONG ROOT		0.5
REYONG	REYONG_2	i?=	DING	1	MUTED	0.25	0.0	NONE	[28]	GK REYONG ROOT		0.25
REYONG	REYONG_2	i?_	DING	1	MUTED	0.5	0.0	NONE	[28]	GK REYONG ROOT		0.5
JEGOGAN	JEGOGAN	i=	DING	1	OPEN	0.25	0.0	NONE	[1]	GK JEGOGAN ROOT		0.25
JEGOGAN	JEGOGAN	i_	DING	1	OPEN	0.5	0.0	NONE	[1]	GK JEGOGAN ROOT		0.5
CALUNG	CALUNG	i=	DING	1	OPEN	0.25	0.0	NONE	[1]	GK CALUNG ROOT		0.25
CALUNG	CALUNG	i_	DING	1	OPEN	0.5	0.0	NONE	[1]	GK CALUNG ROOT		0.5
PENYACAH	PENYACAH	i=	DING	1	OPEN	0.25	0.0	NONE	[23]	GK PENYACAH ROOT	GK PENYACAH DING3.wav	0.25
PENYACAH	PENYACAH	i_	DING	1	OPEN	0.5	0.0	NONE	[23]	GK PENYACAH ROOT	GK PENYACAH DING3.wav	0.5
PEMADE	PEMADE_POLOS	i=	DING	1	OPEN	0.25	0.0	NONE	[5]	GK PEMADE ROOT	GK PEMADE DING3.wav	0.25
PEMADE	PEMADE_POLOS	i_	DING	1	OPEN	0.5	0.0	NONE	[5]	GK PEMADE ROOT	GK PEMADE DING3.wav	0.5
PEMADE	PEMADE_SANGSIH	i=	DING	1	OPEN	0.25	0.0	NONE	[5]	GK PEMADE ROOT	GK PEMADE DING3.wav	0.25
PEMADE	PEMADE_SANGSIH	i_	DING	1	OPEN	0.5	0.0	NONE	[5]	GK PEMADE ROOT	GK PEMADE DING3.wav	0.5
KANTILAN	KANTILAN_POLOS	i=	DING	1	OPEN	0.25	0.0	NONE	[5]	GK KANTILAN ROOT	GK KANTILAN DING4.wav	0.25
KANTILAN	KANTILAN_POLOS	i_	DING	1	OPEN	0.5	0.0	NONE	[5]	GK KANTILAN ROOT	GK KANTILAN DING4.wav	0.5
KANTILAN	KANTILAN_SANGSIH	i=	DING	1	OPEN	0.25	0.0	NONE	[5]	GK KANTILAN ROOT	GK KANTILAN DING4.wav	0.25
KANTILAN	KANTILAN_SANGSIH	i_	DING	1	OPEN	0.5	0.0	NONE	[5]	GK KANTILAN ROOT	GK KANTILAN DING4.wav	0.5
UGAL	UGAL	i=	DING	1	OPEN	0.25	0.0	NONE	[5]	GK UGAL ROOT	GK UGAL DING2.wav	0.25
UGAL	UGAL	i_	DING	1	OPEN	0.5	0.0	NONE	[5]	GK UGAL ROOT	GK UGAL DING2.wav	0.5
TROMPONG	TROMPONG	i=	DING	1	OPEN	0.25	0.0	NONE	[42]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	i_	DING	1	OPEN	0.5	0.0	NONE	[42]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	i=	DING	1	OPEN	0.25	0.0	NONE	[5]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	i_	DING	1	OPEN	0.5	0.0	NONE	[5]	GK GENDER ROOT		0.5
REYONG	REYONG_1	i=	DING	1	OPEN	0.25	0.0	NONE	[4]	GK REYONG ROOT		0.25
REYONG	REYONG_1	i_	DING	1	OPEN	0.5	0.0	NONE	[4]	GK REYONG ROOT		0.5
REYONG	REYONG_2	i=	DING	1	OPEN	0.25	0.0	NONE	[4]	GK REYONG ROOT		0.25
REYONG	REYONG_2	i_	DING	1	OPEN	0.5	0.0	NONE	[4]	GK REYONG ROOT		0.5
PEMADE	PEMADE_POLOS	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[20]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_POLOS	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[20]	GK PEMADE ROOT		0.5
PEMADE	PEMADE_SANGSIH	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[20]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_SANGSIH	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[20]	GK PEMADE ROOT		0.5
KANTILAN	KANTILAN_POLOS	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[20]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_POLOS	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[20]	GK KANTILAN ROOT		0.5
KANTILAN	KANTILAN_SANGSIH	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[20]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_SANGSIH	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[20]	GK KANTILAN ROOT		0.5
UGAL	UGAL	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[20]	GK UGAL ROOT		0.25
UGAL	UGAL	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[20]	GK UGAL ROOT		0.5
TROMPONG	TROMPONG	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[58]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[58]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[24]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[24]	GK GENDER ROOT		0.5
REYONG	REYONG_3	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[21]	GK REYONG ROOT		0.25
REYONG	REYONG_3	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[21]	GK REYONG ROOT		0.5
REYONG	REYONG_4	i</=	DING	2	ABBREVIATED	0.25	0.0	NONE	[21]	GK REYONG ROOT		0.25
REYONG	REYONG_4	i</_	DING	2	ABBREVIATED	0.5	0.0	NONE	[21]	GK REYONG ROOT		0.5
PEMADE	PEMADE_POLOS	i<?=	DING	2	MUTED	0.25	0.0	NONE	[30]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_POLOS	i<?_	DING	2	MUTED	0.5	0.0	NONE	[30]	GK PEMADE ROOT		0.5
PEMADE	PEMADE_SANGSIH	i<?=	DING	2	MUTED	0.25	0.0	NONE	[30]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_SANGSIH	i<?_	DING	2	MUTED	0.5	0.0	NONE	[30]	GK PEMADE ROOT		0.5
KANTILAN	KANTILAN_POLOS	i<?=	DING	2	MUTED	0.25	0.0	NONE	[30]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_POLOS	i<?_	DING	2	MUTED	0.5	0.0	NONE	[30]	GK KANTILAN ROOT		0.5
KANTILAN	KANTILAN_SANGSIH	i<?=	DING	2	MUTED	0.25	0.0	NONE	[30]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_SANGSIH	i<?_	DING	2	MUTED	0.5	0.0	NONE	[30]	GK KANTILAN ROOT		0.5
