instrumentgroup	instrumenttype	positions	note	octave	stroke	channel	midi-gk1	midi-gk2	midi-piano
SEMAR_PAGULINGAN	TROMPONG		DENG	0	OPEN	0	102		55
SEMAR_PAGULINGAN	TROMPONG		DEUNG	0	OPEN	0	103		56
SEMAR_PAGULINGAN	TROMPONG		DUNG	0	OPEN	0	104		58
SEMAR_PAGULINGAN	TROMPONG		DANG	0	OPEN	0	105		62
SEMAR_PAGULINGAN	TROMPONG		DAING	0	OPEN	0	106		63
SEMAR_PAGULINGAN	TROMPONG		DING	1	OPEN	0	107		65
SEMAR_PAGULINGAN	TROMPONG		DONG	1	OPEN	0	108		67
SEMAR_PAGULINGAN	TROMPONG		DENG	1	OPEN	0	109		68
SEMAR_PAGULINGAN	TROMPONG		DEUNG	1	OPEN	0	110		70
SEMAR_PAGULINGAN	TROMPONG		DUNG	1	OPEN	0	111		74
SEMAR_PAGULINGAN	TROMPONG		DANG	1	OPEN	0	112		75
SEMAR_PAGULINGAN	TROMPONG		DAING	1	OPEN	0	113		77
SEMAR_PAGULINGAN	TROMPONG		BYONG		OPEN	0	115		-1
SEMAR_PAGULINGAN	TROMPONG		BYOT		OPEN	0	116		-1
SEMAR_PAGULINGAN	TROMPONG		JET		MUTED	0	117		-1
SEMAR_PAGULINGAN	TROMPONG		TICK		ONE_PANGGUL	0	118		-1
SEMAR_PAGULINGAN	TROMPONG		TICK		TWO_PANGGUL	0	119		-1
